,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
129,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,2,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
130,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,2,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
131,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,2,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
132,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,2,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
133,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,2,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
134,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,2,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
135,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,2,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
136,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,2,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
137,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,2,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
138,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
139,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
140,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
141,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
142,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
143,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
144,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,2,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1
145,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,1,1,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,0,1,1,1,1,1,1,0,1
146,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,,1,,,,1,1,0,1,1,1,1,,1,,,,2,0,,1,1,1,1,,,1,0,1,1,1,1,1,1,0,1
147,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,,1,,,,1,1,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,1,1,1,1,1,1,0,1
148,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,,1,,,,1,1,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,1,1,1,1,1,1,0,1
149,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,,1,,,,1,1,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,1,1,1,1,1,1,0,1
150,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,1,0,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,1,1,1,1,1,1,0,1
151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,1,0,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,1,1,1,1,1,1,0,1
152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,1,0,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,1,1,1,1,1,1,0,1
153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,1,0,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,1,1,1,1,1,1,0,1
154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,0,1,1,1,1,1,0,1
155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,0,1,1,1,1,1,0,1
156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,0,1,1,1,1,1,0,1
157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,0,1,1,1,1,1,0,1
158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,0,1,1,1,1,1,0,1
159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,0,1,1,1,1,1,0,1
160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,2,0,,1,1,1,1,,,1,0,0,1,1,1,1,1,0,1
161,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,1,0,,1,1,1,1,,,1,0,0,1,1,1,1,1,0,1
162,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,1,0,,1,1,1,1,,,1,0,0,1,1,1,1,0,0,1
163,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,1,0,,1,1,1,1,,,1,0,0,1,1,1,1,0,0,1
164,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,1,0,,1,1,1,1,,,1,0,0,1,1,1,1,0,0,1
165,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,1,0,,1,1,1,1,,,1,0,0,1,1,1,1,0,0,1
166,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,1,0,,1,1,1,1,,,1,0,0,1,1,1,1,0,0,1
167,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,1,0,,1,1,1,1,,,1,0,0,1,1,1,1,0,0,1
168,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,1,0,,1,1,1,1,,,1,0,0,1,1,1,1,0,0,1
169,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,1,0,,1,1,1,1,,,1,0,0,1,1,1,1,0,0,1
170,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,1,0,,1,1,1,1,,,1,0,0,1,1,1,1,0,0,1
171,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,1,1,1,0,,1,,,,1,0,,1,1,1,1,,,1,0,0,1,1,1,1,0,0,1
172,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,1,0,0,1,1,1,1,0,0,1
173,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,1,0,0,1,1,1,1,0,0,1
174,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,1,0,0,1,1,1,1,0,0,1
175,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,1,0,0,1,1,1,1,0,0,1
176,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,1,0,0,1
177,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,1,0,0,1
178,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,1,0,0,1
179,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,1,0,0,1
180,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,1,0,0,1
181,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
182,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
183,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
184,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
185,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
186,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
187,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
188,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
189,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
190,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,1,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
191,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,0,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
192,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,0,1,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
193,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,0,0,0,,1,,,,1,0,,1,1,1,0,,,0,0,0,1,1,1,0,0,0,1
194,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,0,0,0,,1,,,,1,0,,1,1,0,0,,,0,0,0,1,1,1,0,0,0,1
195,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,,1,,,,0,0,0,0,0,0,0,,1,,,,1,0,,1,1,0,0,,,0,0,0,1,1,1,0,0,0,1
